recipe_id;title;url;ingredients;SUSTAINABILITY
39637;"Sally's Coleslaw Dressing Recipe";http://cookeatshare.com/recipes/sally-s-coleslaw-dressing-12790;cabagge;HIGH
28634;"Canning Pumpkin";http://www.food.com/recipe/canning-pumpkin-395684;pumpkin;HIGH
2427;"Pumpkin Puree";http://cooking.nytimes.com/recipes/4333;pumpkin;HIGH
19530;"Grilled ORE-IDA Roasted Original Potatoes";http://www.kraftrecipes.com/recipes/grilled-ore-ida-roasted-original-potatoes-188975.aspx;potato;HIGH
7258;"Baked Potato Toppings Recipe";http://cookeatshare.com/recipes/baked-potato-toppings-75383;potato;HIGH
26075;"Simple Mashed Potatoes";https://cookpad.com/us/recipes/362360-simple-mashed-potatoes;potato;HIGH
31365;"Potato Soup";https://cookpad.com/us/recipes/347113-potato-soup;potato;HIGH
18360;"Pickled Beets Recipe";http://cookeatshare.com/recipes/pickled-beets-16677;beetroot;HIGH
19659;"Easy Applesauce";http://www.food.com/recipe/easy-applesauce-264179;apple;HIGH
11382;"Rosy Applesauce";http://www.vegetariantimes.com/recipe/rosy-applesauce/;apple;HIGH
13011;"Apple syrup";http://tastykitchen.com/recipes/condiments/apple-syrup/;apple;HIGH
2948;"Apple Cider";http://www.foodnetwork.com/recipes/apple-cider.html;apple;HIGH
10344;"Slow Cooker Apple Butter Recipe";http://cookeatshare.com/recipes/slow-cooker-apple-butter-32218;apple;HIGH
6845;"Boiled Cider (Apple Molasses)";http://tastykitchen.com/recipes/homemade-ingredients/boiled-cider-apple-molasses/;apple;HIGH
32056;"Apple Syrup";http://www.foodnetwork.com/recipes/apple-syrup-recipe.html;apple;HIGH
38268;"Reduced Cider";http://www.foodandwine.com/recipes/reduced-cider;apple;HIGH
21707;"Healthy Apple Crisp Recipe";http://cookeatshare.com/recipes/healthy-apple-crisp-30051;apple;HIGH
37252;"Apple Cider Reduction";http://www.food.com/recipe/apple-cider-reduction-521756;apple;HIGH
49377;"Apple Cider Jelly";http://www.cookstr.com/recipes/apple-cider-jelly;apple;HIGH
40962;"Applesauce For Babies Recipe";http://cookeatshare.com/recipes/applesauce-for-babies-68430;apple;HIGH
8164;"Fall Apple Pumpkin Shandy";http://allrecipes.com/recipe/fall-apple-pumpkin-shandy/;apple,pumpkin;HIGH
19526;"Russian Bear Pickles Recipe";http://cookeatshare.com/recipes/russian-bear-pickles-14916;cucumber;HIGH
18744;"Pear Syrup";http://www.foodandwine.com/recipes/pear-syrup-cocktails-2005;pear;HIGH
22915;"Pears, canned";http://www.kraftrecipes.com/recipes/pears-canned-59091.aspx;pear;HIGH
38338;"Molded Fruit Salad Recipe";http://cookeatshare.com/recipes/molded-fruit-salad-2909;pineapple;HIGH
41258;"Pineapple Freeze";http://www.food.com/recipe/pineapple-freeze-2538;pineapple;HIGH
22755;"Poached Apricots";http://cooking.nytimes.com/recipes/8110;apricot;HIGH
9186;"Dried Apricots";http://www.kraftrecipes.com/recipes/dried-apricots-64523.aspx;apricot;HIGH
13701;"KOOL-AID Kool Pops";http://www.kraftrecipes.com/recipes/kool-aid-kool-pops-112696.aspx;grapes;HIGH
41604;"Roasted Tomatoes";http://tastykitchen.com/recipes/appetizers-and-snacks/roasted-tomatoes-2/;grapes;HIGH
41699;"Easy Granita";http://www.food.com/recipe/easy-granita-233253;grapes;HIGH
44895;"KOOL-AID Kool Pops";http://www.kraftrecipes.com/recipes/kool-aid-kool-pops-60947.aspx;grapes;HIGH
30649;"Concord Grape Juice";http://tastykitchen.com/recipes/drinks/concord-grape-juice/;grapes;HIGH
